DICDNet Image Quality Evaluation by Metal Size
Date: 2025-05-12 13:01:05
Results Directory: /home/mcosta/PycharmProjects/DICDNet/DICDNet/save_results
Model Evaluated: DICDNet
Total GT files found: 2000
Total files processed and metrics collected: 2000

--- Metrics by Metal Size Group (mean ± std) ---
Group Label                   Count           PSNR(img)             SSIM(img)            PSNR(hu)              SSIM(hu)
-----------------------------------------------------------------------------------------------------------------------
Large       ({1338, 3119}px)    400       35.55 ± 3.49         0.9770 ± 0.0054       27.34 ± 1.51         0.9432 ± 0.0132
Large-Med   ({688, 1329}px)     400       38.48 ± 3.28         0.9848 ± 0.0033       30.30 ± 1.94         0.9624 ± 0.0093
Medium      ({182, 371}px)      400       42.10 ± 3.67         0.9896 ± 0.0021       33.11 ± 1.70         0.9700 ± 0.0066
Med-Small   ({171, 180}px)      400       44.74 ± 2.75         0.9914 ± 0.0021       35.49 ± 2.15         0.9736 ± 0.0073
Small       ({54, 84}px)        400       45.35 ± 2.26         0.9919 ± 0.0016       35.98 ± 1.32         0.9746 ± 0.0064
-----------------------------------------------------------------------------------------------------------------------

--- Overall Summary (mean ± std across all processed files) ---
PSNR(img): 41.25 ± 4.88 (from 2000 images)
SSIM(img): 0.9869 ± 0.0064
PSNR(hu):  32.44 ± 3.69
SSIM(hu):  0.9648 ± 0.0146

--- Individual File Metrics Log ---
Filename            Prefix     MaskIdx  MaskArea   Group   PSNR(img)   SSIM(img)    PSNR(hu)    SSIM(hu)
------------------------------------------------------------------------------------------------------------------------
1_gt_image.png      1                0       371      G3       39.51      0.9862       30.66      0.9564
2_gt_image.png      2                1      1338      G5       30.49      0.9752       27.49      0.9310
3_gt_image.png      3                2       688      G4       34.71      0.9831       29.80      0.9453
4_gt_image.png      4                3        84      G1       46.49      0.9902       34.47      0.9615
5_gt_image.png      5                4       171      G2       47.27      0.9914       35.92      0.9694
6_gt_image.png      6                5        54      G1       41.65      0.9903       33.44      0.9645
7_gt_image.png      7                6      1329      G4       41.73      0.9852       28.92      0.9483
8_gt_image.png      8                7      3119      G5       39.70      0.9780       26.05      0.9140
9_gt_image.png      9                8       182      G3       41.42      0.9881       32.35      0.9591
10_gt_image.png     10               9       180      G2       44.38      0.9894       32.94      0.9606
11_gt_image.png     11               0       371      G3       40.35      0.9864       31.47      0.9583
12_gt_image.png     12               1      1338      G5       40.03      0.9789       27.64      0.9308
13_gt_image.png     13               2       688      G4       36.86      0.9831       28.98      0.9461
14_gt_image.png     14               3        84      G1       42.04      0.9893       34.77      0.9605
15_gt_image.png     15               4       171      G2       41.65      0.9915       37.46      0.9708
16_gt_image.png     16               5        54      G1       43.20      0.9907       35.43      0.9676
17_gt_image.png     17               6      1329      G4       39.78      0.9841       27.94      0.9481
18_gt_image.png     18               7      3119      G5       39.48      0.9768       26.57      0.9166
19_gt_image.png     19               8       182      G3       42.17      0.9889       33.92      0.9612
20_gt_image.png     20               9       180      G2       41.67      0.9887       33.52      0.9623
21_gt_image.png     21               0       371      G3       40.37      0.9883       29.45      0.9563
22_gt_image.png     22               1      1338      G5       34.24      0.9809       27.45      0.9322
23_gt_image.png     23               2       688      G4       36.03      0.9847       29.07      0.9453
24_gt_image.png     24               3        84      G1       44.99      0.9907       34.02      0.9634
25_gt_image.png     25               4       171      G2       39.33      0.9910       35.01      0.9702
26_gt_image.png     26               5        54      G1       43.99      0.9917       34.32      0.9667
27_gt_image.png     27               6      1329      G4       41.93      0.9865       28.30      0.9478
28_gt_image.png     28               7      3119      G5       39.14      0.9762       25.66      0.9137
29_gt_image.png     29               8       182      G3       42.65      0.9891       32.60      0.9615
30_gt_image.png     30               9       180      G2       40.37      0.9887       32.28      0.9612
31_gt_image.png     31               0       371      G3       41.35      0.9887       30.18      0.9547
32_gt_image.png     32               1      1338      G5       37.68      0.9813       27.52      0.9298
33_gt_image.png     33               2       688      G4       40.09      0.9864       30.15      0.9469
34_gt_image.png     34               3        84      G1       41.63      0.9908       34.73      0.9612
35_gt_image.png     35               4       171      G2       43.86      0.9933       37.73      0.9714
36_gt_image.png     36               5        54      G1       42.36      0.9921       35.21      0.9658
37_gt_image.png     37               6      1329      G4       41.28      0.9868       28.18      0.9479
38_gt_image.png     38               7      3119      G5       40.18      0.9801       26.68      0.9168
39_gt_image.png     39               8       182      G3       39.53      0.9897       33.64      0.9601
40_gt_image.png     40               9       180      G2       39.69      0.9896       33.23      0.9605
41_gt_image.png     41               0       371      G3       41.34      0.9871       30.52      0.9561
42_gt_image.png     42               1      1338      G5       36.83      0.9801       27.85      0.9309
43_gt_image.png     43               2       688      G4       39.95      0.9832       29.72      0.9449
44_gt_image.png     44               3        84      G1       46.90      0.9893       34.99      0.9596
45_gt_image.png     45               4       171      G2       48.18      0.9913       36.64      0.9690
46_gt_image.png     46               5        54      G1       45.71      0.9896       34.27      0.9647
47_gt_image.png     47               6      1329      G4       41.32      0.9831       28.12      0.9464
48_gt_image.png     48               7      3119      G5       39.86      0.9751       26.46      0.9140
49_gt_image.png     49               8       182      G3       44.75      0.9878       33.07      0.9573
50_gt_image.png     50               9       180      G2       43.34      0.9877       33.04      0.9573
51_gt_image.png     51               0       371      G3       42.75      0.9893       30.16      0.9569
52_gt_image.png     52               1      1338      G5       38.69      0.9802       27.64      0.9296
53_gt_image.png     53               2       688      G4       36.24      0.9839       29.16      0.9456
54_gt_image.png     54               3        84      G1       46.38      0.9911       34.32      0.9604
55_gt_image.png     55               4       171      G2       47.72      0.9932       37.32      0.9706
56_gt_image.png     56               5        54      G1       46.67      0.9922       34.93      0.9653
57_gt_image.png     57               6      1329      G4       41.07      0.9866       27.89      0.9493
58_gt_image.png     58               7      3119      G5       37.86      0.9810       26.81      0.9212
59_gt_image.png     59               8       182      G3       46.11      0.9907       33.58      0.9596
60_gt_image.png     60               9       180      G2       44.90      0.9898       32.88      0.9603
61_gt_image.png     61               0       371      G3       42.47      0.9898       31.21      0.9636
62_gt_image.png     62               1      1338      G5       37.47      0.9816       27.32      0.9365
63_gt_image.png     63               2       688      G4       37.03      0.9865       30.26      0.9543
64_gt_image.png     64               3        84      G1       41.19      0.9906       35.26      0.9654
65_gt_image.png     65               4       171      G2       47.57      0.9924       36.48      0.9727
66_gt_image.png     66               5        54      G1       46.30      0.9916       34.75      0.9697
67_gt_image.png     67               6      1329      G4       41.17      0.9872       30.10      0.9564
68_gt_image.png     68               7      3119      G5       37.79      0.9791       26.04      0.9263
69_gt_image.png     69               8       182      G3       45.80      0.9907       34.21      0.9647
70_gt_image.png     70               9       180      G2       45.30      0.9905       33.71      0.9654
71_gt_image.png     71               0       371      G3       39.42      0.9905       31.72      0.9684
72_gt_image.png     72               1      1338      G5       38.62      0.9814       26.62      0.9407
73_gt_image.png     73               2       688      G4       37.81      0.9861       29.86      0.9572
74_gt_image.png     74               3        84      G1       48.67      0.9936       36.62      0.9717
75_gt_image.png     75               4       171      G2       49.48      0.9943       37.78      0.9765
76_gt_image.png     76               5        54      G1       49.22      0.9945       37.52      0.9772
77_gt_image.png     77               6      1329      G4       42.48      0.9896       31.69      0.9633
78_gt_image.png     78               7      3119      G5       41.12      0.9831       28.78      0.9361
79_gt_image.png     79               8       182      G3       44.92      0.9929       35.49      0.9721
80_gt_image.png     80               9       180      G2       42.81      0.9916       34.63      0.9707
81_gt_image.png     81               0       371      G3       42.07      0.9912       32.01      0.9705
82_gt_image.png     82               1      1338      G5       31.05      0.9805       27.49      0.9487
83_gt_image.png     83               2       688      G4       41.17      0.9883       30.42      0.9613
84_gt_image.png     84               3        84      G1       44.69      0.9929       36.79      0.9718
85_gt_image.png     85               4       171      G2       47.67      0.9946       39.09      0.9780
86_gt_image.png     86               5        54      G1       45.68      0.9935       37.02      0.9760
87_gt_image.png     87               6      1329      G4       44.17      0.9899       32.63      0.9628
88_gt_image.png     88               7      3119      G5       42.91      0.9851       30.96      0.9431
89_gt_image.png     89               8       182      G3       46.71      0.9924       35.21      0.9705
90_gt_image.png     90               9       180      G2       44.19      0.9923       35.45      0.9701
91_gt_image.png     91               0       371      G3       38.30      0.9875       31.77      0.9769
92_gt_image.png     92               1      1338      G5       33.63      0.9768       26.52      0.9617
93_gt_image.png     93               2       688      G4       38.11      0.9836       28.62      0.9703
94_gt_image.png     94               3        84      G1       44.86      0.9887       34.17      0.9759
95_gt_image.png     95               4       171      G2       45.33      0.9917       33.13      0.9787
96_gt_image.png     96               5        54      G1       44.34      0.9916       34.66      0.9801
97_gt_image.png     97               6      1329      G4       42.52      0.9820       34.27      0.9777
98_gt_image.png     98               7      3119      G5       39.13      0.9678       30.41      0.9623
99_gt_image.png     99               8       182      G3       41.64      0.9862       32.25      0.9720
100_gt_image.png    100              9       180      G2       43.47      0.9852       32.25      0.9712
101_gt_image.png    101              0       371      G3       42.66      0.9909       33.12      0.9728
102_gt_image.png    102              1      1338      G5       40.12      0.9817       27.74      0.9487
103_gt_image.png    103              2       688      G4       42.55      0.9877       30.23      0.9633
104_gt_image.png    104              3        84      G1       46.60      0.9915       35.73      0.9756
105_gt_image.png    105              4       171      G2       47.98      0.9932       37.12      0.9822
106_gt_image.png    106              5        54      G1       47.63      0.9932       35.76      0.9787
107_gt_image.png    107              6      1329      G4       43.17      0.9885       31.87      0.9681
108_gt_image.png    108              7      3119      G5       40.44      0.9827       28.54      0.9420
109_gt_image.png    109              8       182      G3       42.74      0.9909       34.28      0.9748
